Trial,Marker,Coordinate,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
3,1,X,"Mean: 105.11, Std: 1.00, Max: 107.14, Min: 102.94, Range: 4.20","Mean: 105.39, Std: 2.41, Max: 109.32, Min: 101.68, Range: 7.65","Mean: 101.04, Std: 1.34, Max: 104.46, Min: 97.19, Range: 7.27","Mean: 101.61, Std: 0.30, Max: 102.32, Min: 101.02, Range: 1.29","Mean: 103.81, Std: 0.36, Max: 104.62, Min: 102.72, Range: 1.90","Mean: 103.63, Std: 2.04, Max: 107.43, Min: 98.31, Range: 9.12","Mean: 103.56, Std: 1.94, Max: 108.44, Min: 97.99, Range: 10.45"
3,1,Y,"Mean: 6.49, Std: 1.06, Max: 9.16, Min: 4.28, Range: 4.88","Mean: 7.95, Std: 0.59, Max: 9.49, Min: 6.88, Range: 2.61","Mean: 5.54, Std: 0.63, Max: 7.23, Min: 4.36, Range: 2.87","Mean: 8.03, Std: 0.24, Max: 8.60, Min: 7.48, Range: 1.12","Mean: 7.50, Std: 0.72, Max: 8.97, Min: 6.00, Range: 2.96","Mean: 6.10, Std: 1.32, Max: 8.97, Min: 4.08, Range: 4.89","Mean: 7.31, Std: 1.23, Max: 9.93, Min: 4.04, Range: 5.89"
3,1,Z,"Mean: 17.06, Std: 1.67, Max: 20.50, Min: 13.28, Range: 7.22","Mean: 19.64, Std: 0.70, Max: 20.96, Min: 18.11, Range: 2.85","Mean: 22.18, Std: 1.47, Max: 26.13, Min: 17.27, Range: 8.86","Mean: 20.63, Std: 0.48, Max: 21.69, Min: 19.36, Range: 2.33","Mean: 19.38, Std: 0.62, Max: 21.29, Min: 18.13, Range: 3.16","Mean: 18.69, Std: 6.28, Max: 32.81, Min: 7.25, Range: 25.56","Mean: 20.63, Std: 2.28, Max: 28.68, Min: 16.01, Range: 12.67"
3,2,X,"Mean: 97.60, Std: 0.74, Max: 99.20, Min: 96.08, Range: 3.12","Mean: 96.26, Std: 0.84, Max: 97.94, Min: 94.66, Range: 3.28","Mean: 94.86, Std: 1.38, Max: 97.62, Min: 91.40, Range: 6.22","Mean: 93.16, Std: 0.41, Max: 94.33, Min: 92.28, Range: 2.05","Mean: 96.01, Std: 0.49, Max: 97.30, Min: 94.89, Range: 2.41","Mean: 95.34, Std: 1.93, Max: 98.99, Min: 90.35, Range: 8.64","Mean: 94.68, Std: 1.45, Max: 98.53, Min: 90.80, Range: 7.72"
3,2,Y,"Mean: -13.11, Std: 0.91, Max: -10.88, Min: -15.17, Range: 4.29","Mean: -11.88, Std: 0.53, Max: -10.72, Min: -12.69, Range: 1.96","Mean: -14.00, Std: 0.74, Max: -12.48, Min: -15.82, Range: 3.34","Mean: -11.71, Std: 0.41, Max: -11.00, Min: -12.54, Range: 1.54","Mean: -11.41, Std: 0.45, Max: -10.57, Min: -12.59, Range: 2.02","Mean: -12.92, Std: 1.72, Max: -9.75, Min: -16.65, Range: 6.90","Mean: -13.41, Std: 1.05, Max: -10.56, Min: -16.33, Range: 5.77"
3,2,Z,"Mean: 9.62, Std: 1.52, Max: 12.48, Min: 6.21, Range: 6.27","Mean: 12.57, Std: 0.59, Max: 14.07, Min: 11.44, Range: 2.63","Mean: 14.14, Std: 1.73, Max: 19.08, Min: 10.04, Range: 9.04","Mean: 13.54, Std: 0.49, Max: 14.59, Min: 12.28, Range: 2.31","Mean: 12.10, Std: 0.57, Max: 13.95, Min: 10.76, Range: 3.18","Mean: 11.56, Std: 5.05, Max: 22.81, Min: 1.90, Range: 20.91","Mean: 13.16, Std: 1.70, Max: 18.04, Min: 9.19, Range: 8.84"
3,3,X,"Mean: 88.76, Std: 0.38, Max: 89.69, Min: 87.89, Range: 1.81","Mean: 87.57, Std: 0.30, Max: 88.15, Min: 86.85, Range: 1.30","Mean: 86.15, Std: 0.85, Max: 87.73, Min: 84.06, Range: 3.67","Mean: 85.61, Std: 0.71, Max: 86.87, Min: 84.36, Range: 2.51","Mean: 87.57, Std: 0.45, Max: 88.68, Min: 86.63, Range: 2.05","Mean: 86.36, Std: 1.32, Max: 88.52, Min: 82.93, Range: 5.59","Mean: 86.66, Std: 0.93, Max: 88.39, Min: 83.96, Range: 4.43"
3,3,Y,"Mean: -25.90, Std: 0.87, Max: -23.79, Min: -27.93, Range: 4.14","Mean: -24.54, Std: 0.23, Max: -24.06, Min: -25.07, Range: 1.00","Mean: -26.23, Std: 0.34, Max: -25.28, Min: -26.74, Range: 1.47","Mean: -25.08, Std: 0.36, Max: -24.36, Min: -25.81, Range: 1.44","Mean: -24.38, Std: 0.54, Max: -23.50, Min: -25.75, Range: 2.25","Mean: -25.48, Std: 0.98, Max: -23.55, Min: -27.96, Range: 4.41","Mean: -25.83, Std: 1.14, Max: -23.72, Min: -29.13, Range: 5.41"
3,3,Z,"Mean: -2.39, Std: 1.16, Max: 0.47, Min: -4.96, Range: 5.43","Mean: -0.37, Std: 0.73, Max: 1.15, Min: -1.97, Range: 3.12","Mean: 0.75, Std: 1.35, Max: 4.21, Min: -2.97, Range: 7.18","Mean: 0.86, Std: 0.51, Max: 1.82, Min: -0.73, Range: 2.54","Mean: -0.45, Std: 0.72, Max: 1.05, Min: -1.76, Range: 2.81","Mean: -1.25, Std: 3.50, Max: 5.99, Min: -8.41, Range: 14.40","Mean: -0.81, Std: 1.19, Max: 2.47, Min: -3.19, Range: 5.67"
3,4,X,"Mean: 83.37, Std: 0.30, Max: 84.00, Min: 82.24, Range: 1.75","Mean: 83.29, Std: 0.17, Max: 83.81, Min: 82.88, Range: 0.92","Mean: 81.59, Std: 0.52, Max: 82.59, Min: 80.49, Range: 2.09","Mean: 81.21, Std: 0.36, Max: 82.18, Min: 80.09, Range: 2.09","Mean: 83.34, Std: 0.69, Max: 84.71, Min: 82.03, Range: 2.68","Mean: 82.88, Std: 0.60, Max: 83.95, Min: 81.63, Range: 2.32","Mean: 83.41, Std: 1.87, Max: 88.08, Min: 79.88, Range: 8.21"
3,4,Y,"Mean: -38.63, Std: 0.82, Max: -36.68, Min: -40.43, Range: 3.75","Mean: -35.30, Std: 0.28, Max: -34.74, Min: -36.15, Range: 1.41","Mean: -35.02, Std: 0.31, Max: -34.38, Min: -36.01, Range: 1.63","Mean: -33.62, Std: 0.49, Max: -32.42, Min: -34.72, Range: 2.30","Mean: -35.73, Std: 0.96, Max: -33.40, Min: -38.29, Range: 4.89","Mean: -35.32, Std: 1.18, Max: -33.39, Min: -37.48, Range: 4.08","Mean: -37.31, Std: 1.73, Max: -33.83, Min: -40.93, Range: 7.10"
3,4,Z,"Mean: -13.97, Std: 1.17, Max: -11.47, Min: -16.92, Range: 5.45","Mean: -13.61, Std: 0.57, Max: -12.32, Min: -14.83, Range: 2.51","Mean: -12.52, Std: 1.24, Max: -9.35, Min: -15.80, Range: 6.45","Mean: -12.17, Std: 0.56, Max: -10.81, Min: -13.77, Range: 2.96","Mean: -13.04, Std: 0.52, Max: -11.68, Min: -14.35, Range: 2.66","Mean: -15.60, Std: 1.46, Max: -12.61, Min: -19.54, Range: 6.93","Mean: -14.99, Std: 1.91, Max: -11.46, Min: -20.70, Range: 9.24"
