SubjectID,Task,PeakAngle_Thumb_20_17_18_,PeakAngle_Thumb_17_18_19_,PeakAngle_Index_20_1_5_,PeakAngle_Index_1_5_6_,PeakAngle_Index_5_6_7_,PeakAngle_Middle_20_2_8_,PeakAngle_Middle_2_8_9_,PeakAngle_Middle_8_9_10_,PeakAngle_Ring_20_3_11_,PeakAngle_Ring_3_11_12_,PeakAngle_Ring_11_12_13_,PeakAngle_Little_20_4_14_,PeakAngle_Little_4_14_15_,PeakAngle_Little_14_15_16_,AvgRectEMG_APL,AvgRectEMG_FCR,AvgRectEMG_FDS,AvgRectEMG_FDP,AvgRectEMG_ED,AvgRectEMG_EI,AvgRectEMG_ECU,AvgRectEMG_ECR
5,3,131.772145754088,171.571338265681,170.593224979788,170.933230666442,178.409276547677,178.973046749992,164.894719161485,174.994866892967,171.874558327442,170.249755188833,179.40879983926,164.42281798738,176.328757294686,174.533049916093,0.449656131068608,0.424083765654165,0.457595092707398,0.586792745391948,0.379516498755698,0.530626298393386,0.486529374552392,0.566029727474145
5,4,131.509977622176,173.523974228626,171.136928816274,169.818736229052,178.913023640151,179.083137538061,164.588468596871,173.66398416037,171.576043232543,175.549825059682,179.874276021816,169.632351951668,176.723301154141,173.237439813769,0.449947758763479,0.42941855323554,0.458677132132673,0.584209106168345,0.37949661991364,0.530936306130878,0.494301000375455,0.568823022364778
5,5,127.884866995211,172.904622604941,163.289202319816,159.573418305604,175.498136412399,162.15636908422,159.884548849773,178.706165116617,156.658849523559,163.144798677324,176.951193861844,158.51793422127,173.332548316991,175.676188425003,0.451191236865343,0.428053148479508,0.459967088436288,0.583179076763118,0.388571329808331,0.529385409560722,0.481826703065826,0.574700912683407
5,6,152.292029562001,178.683738180267,173.557314754216,171.907158322856,179.691298684737,177.774568910872,168.020447734942,174.759796688074,178.940599740296,178.530575321512,179.850739917585,177.381476457009,178.991487836236,175.682313128748,0.450333498044338,0.427584915829077,0.461567871715206,0.594433580197312,0.381772236899734,0.544207959733207,0.50191513254288,0.574774081779659
5,7,150.977754987392,178.491114964731,176.451983890042,173.41532619356,177.610661889954,179.46260822076,171.028396907829,174.679705916764,179.662267724573,179.201839764203,177.102087074381,179.51070287706,177.905890645986,172.914608158417,0.465160408511708,0.433328435559722,0.478118335479352,0.597865543252114,0.383729349160639,0.548711752191958,0.51204844929649,0.584849620188344
6,1,156.525548072617,178.937587973374,166.531918164791,164.972728418635,176.096696718596,173.070799473191,165.860557437144,174.701129543883,166.459239648988,158.813138379958,169.68548969394,164.947667060572,168.566015986196,178.793729747956,0.52426427257285,0.485577963239296,0.481250900176091,0.512730397514587,0.572354742989347,0.518408146562128,0.533855860959955,0.504274326382711
6,2,149.374149989023,175.520588775948,166.594149058958,166.848852790128,177.22242958693,178.217443294515,159.765960891802,177.625621924944,170.514349186389,145.122682486869,172.885970967273,165.208177866022,148.050073758772,171.230907468062,0.50967291500099,0.485096700126228,0.482518312849576,0.513238972880729,0.572961223603195,0.521295120769576,0.527651448901243,0.50227760734982
6,3,161.333314380823,177.179049363386,170.441671032082,167.715960166595,174.47104188663,179.70967296318,174.590350174838,178.586458270807,171.851054382558,162.355441470915,177.230761319895,167.794929924549,168.793158396985,178.706597861665,0.511849499419351,0.492924849795359,0.488388625497083,0.52236690985943,0.581335016980085,0.519791960611325,0.536863819738651,0.509738356788648
6,4,148.228484249633,172.362169807308,167.156704986513,164.722959081158,176.352054962929,176.060923455226,171.463142924865,174.815906521228,173.651526725769,177.702965378261,178.874433691652,172.269280156373,179.301868363768,178.734825015333,0.512166280438352,0.497984249420481,0.487594093626447,0.523136105840021,0.566359623089548,0.512626364706581,0.556118230956155,0.517305621382452
6,5,148.088388325047,178.10375171502,161.541441439813,163.143149066308,176.170145828056,178.096202704262,170.840055229645,175.946370121825,172.765864947883,170.08523333956,176.15293157168,171.758982418947,179.820534283522,145.978988571216,0.515339263096439,0.489755386501369,0.486890939882266,0.518196607386816,0.574460702959072,0.522040419816705,0.546665100570119,0.512396512743727
6,6,156.304929324,178.673752761614,172.854956887853,166.034655899312,177.004522734785,171.572542854317,169.887281927578,179.47519806898,172.397940203228,176.122411220101,177.546381132396,173.867770215816,179.925858108538,179.02846362835,0.518923267508576,0.498574750478711,0.492502134538261,0.528724369429505,0.566439750169706,0.519700106908352,0.533541459363838,0.507435995426632
6,7,148.168697912354,176.104582745362,171.151314260502,165.868427135786,175.758351555924,177.14228695915,171.546470927231,174.699129019616,174.650136532261,172.802531529396,176.586253052399,171.855764458242,179.813792970246,178.04543364066,0.521313315148553,0.489731457952375,0.483262377326705,0.520833997888037,0.577486688758252,0.522763400538965,0.544581670248565,0.511449394990666
7,1,145.656376588896,173.76986187128,159.991530633777,165.206392363466,169.988995589914,168.611996973818,165.383017177211,171.969019977296,172.766582146777,170.823424009066,176.317231717815,165.804876298192,161.945787053816,177.669414487533,0.5670705547429,0.339840927689724,0.500845039676204,0.39769862576415,0.410065197475008,0.5061259363549,0.442510776362059,0.547110096467032
7,2,133.545102329375,163.378778897858,160.143109110321,171.753077647955,169.597423230581,169.380024601338,166.077104714503,172.745489347777,173.053508291229,166.351408114635,177.533396992856,156.467498026757,156.048221797996,174.07589903431,0.562401259943747,0.339725926267882,0.499081047831231,0.398782232870061,0.407050337385982,0.507349118835269,0.441332410624807,0.548243928641763
7,3,129.839265331026,164.900002254574,163.144865854091,176.425601559003,168.816751576791,167.431479835519,176.167827815178,174.8976774836,168.566830679805,175.481048346549,176.665815889965,153.059779240036,161.525385660026,176.677249662061,0.563174960941988,0.33970746388564,0.504184108163102,0.406840014811868,0.417368081039686,0.512048562450913,0.450663492925512,0.552884709952321
7,4,129.054872216573,159.722570756049,163.364641292881,169.575842661573,169.804639048398,158.624392932576,166.358200646072,172.856115749234,163.077176237135,170.470735586202,177.627190417595,159.160775768993,156.628793929121,173.799414837786,0.575200382907073,0.355445332837404,0.501984055058424,0.404371949983345,0.413699529652677,0.509954930059432,0.445666744088932,0.557026179806639
7,5,124.685200355962,153.866602318637,160.38388803011,163.870310949868,170.659169958673,157.258760639311,159.210121585446,171.758725795929,170.056256380504,161.661046080222,177.58659401217,162.830343560121,171.321490609484,174.883007980012,0.564177561104055,0.338779420971849,0.499575505661546,0.39810270828546,0.414203338161946,0.514536821663119,0.449576737281464,0.557579022463621
7,6,146.115365933732,167.286153834089,168.266669432501,174.308262655282,171.357779978081,178.058773893028,171.955553133109,172.065521651467,171.796292840824,176.297581573252,177.856356687316,167.223234498862,171.846277253086,173.291375705619,0.561607687063702,0.34154817363576,0.501004665989359,0.410704801838564,0.41401269488443,0.516136324076002,0.4509267891923,0.560910481875504
7,7,144.532764267078,173.439171618685,165.491306242628,172.034436494977,171.679008645219,175.106993345352,163.565782769475,172.53397009629,171.157029549781,162.382176010906,178.196251838991,157.198720201619,151.293046979416,172.532106725289,0.557641149605889,0.341102283370684,0.499915773925372,0.409895179427625,0.422087683441278,0.512877567417315,0.448037641511989,0.555237527061153
8,1,135.023333665749,170.079782762053,172.662804994342,164.271613562143,174.942159162485,172.487882529723,159.916955799234,161.469706327732,171.204794513558,170.565750962556,172.742453679628,156.870824080588,169.769596484764,161.624422710093,0.503117423673986,0.390169837599667,0.329757472332963,0.435573108813793,0.381645307378775,0.536902298082326,0.364859788212082,0.501610163031648
8,2,121.653092740639,162.699004433956,174.142462570946,170.379990684178,178.728127135735,176.369063156508,160.912228357616,170.286495540586,178.454031185522,165.769548423885,176.09768646073,164.033313863356,172.428967683432,163.228353912238,0.503435123090809,0.38985371163762,0.329879109738227,0.439226391930889,0.375118679735651,0.541845114803952,0.361695371152303,0.49404820135112
8,3,122.744015151931,164.881409491015,170.942451617313,171.864519489179,177.863941381082,174.989991548135,163.86730971164,173.273765256455,176.550510419739,168.821775865218,175.943674414183,162.642859591229,170.46049999273,160.956523614201,0.505184624771033,0.391685613699698,0.329779991292359,0.434763016463517,0.379282462258161,0.551345484994479,0.365892565890526,0.491484839974859
8,4,122.186371452578,166.118030447527,166.558000744498,163.888232687244,178.175363299841,175.134871046459,156.740361027921,171.908829131061,166.564685754134,169.273221909182,179.035927676485,160.676441580818,170.481214291383,162.731883698836,0.511161306925495,0.39743545245718,0.336227240126066,0.438944106629718,0.380060604154474,0.54674314558954,0.366137323203735,0.491373741464162
8,5,124.96352391036,168.341312818279,170.890402143976,160.81388179231,178.577431614183,175.629810151321,153.473484558184,171.210591639364,167.232544417236,163.142531960064,178.808522339106,160.830963978651,166.715209258045,163.079360420527,0.503747570175785,0.393526887941348,0.331258666295551,0.458435012242644,0.375540939846249,0.540322124708651,0.374978941516593,0.49134165868707
8,6,136.343979975594,169.334658791191,174.372677498952,173.4178108615,179.38033123898,174.448782600555,162.043918651093,170.670177378631,173.858431733038,171.460364998461,177.99489487831,162.710072441903,167.545339871168,161.759137792562,0.505359866416978,0.399424029992363,0.333353231423468,0.467417998466493,0.375689588935578,0.550028762006983,0.38746472698802,0.4969311302708
8,7,137.094850350473,170.482142424186,177.089618664613,173.651638957611,179.621744665714,179.515982910696,161.954151812368,171.7588324172,174.260100911066,170.426157610515,177.809894593141,160.360269530345,168.440701718859,161.481863699388,0.506421424326637,0.400390055460709,0.33449874311073,0.460814795151286,0.378694436311724,0.547909130367534,0.382519352912102,0.495254675670539
9,1,144.318370136482,178.789802590711,169.722941024822,173.491711455943,175.001136984441,175.395528486159,179.132237606622,173.682391628445,161.712494439466,167.623333047705,163.411853143127,168.80215412224,177.871424566383,177.318522993172,0.518313915784531,0.514881205178765,0.507896099511023,0.512363144751542,0.523681427259592,0.49715042898811,0.504733256492998,0.490239131712391
